,FIPS,PCT_DIABETES_ADULTS10
244,08011,0.064
245,08013,0.047
246,08014,0.055
247,08015,0.06
248,08017,0.075
249,08019,0.055
250,08021,0.061
251,08023,0.078
252,08025,0.063
253,08027,0.079
254,08029,0.076
255,08031,0.059
256,08033,0.071
257,08035,0.041
258,08037,0.036
259,08039,0.051
260,08041,0.059
261,08043,0.085
262,08045,0.05
263,08047,0.06
264,08049,0.055
265,08051,0.043
266,08053,0.066
267,08055,0.083
268,08057,0.066
269,08059,0.056
270,08061,0.076
271,08063,0.073
272,08065,0.049
273,08067,0.055
274,08069,0.05
275,08071,0.075
276,08073,0.076
277,08075,0.068
278,08077,0.066
279,08079,0.072
280,08081,0.065
281,08083,0.066
282,08085,0.063
283,08087,0.073
284,08089,0.075
285,08091,0.068
286,08093,0.052
287,08095,0.076
288,08097,0.048
289,08099,0.073
290,08101,0.087
291,08103,0.061
292,08105,0.073
293,08107,0.033
294,08109,0.055
295,08111,0.059
296,08113,0.047
297,08115,0.075
298,08117,0.039
299,08119,0.068
300,08121,0.071
301,08123,0.061
302,08125,0.06
303,09001,0.071
304,09003,0.085
305,09005,0.077
306,09007,0.08
307,09009,0.096
308,09011,0.079
309,09013,0.073
310,09015,0.102
311,10001,0.119
312,10003,0.084
313,10005,0.115
314,11001,0.081
315,12001,0.072
316,12003,0.134
317,12005,0.103
318,12007,0.133
319,12009,0.124
320,12011,0.092
321,12013,0.135
322,12015,0.13
323,12017,0.129
324,12019,0.112
325,12021,0.101
326,12023,0.129
327,12027,0.128
328,12029,0.137
329,12031,0.108
330,12033,0.124
331,12035,0.117
332,12037,0.099
333,12039,0.144
334,12041,0.109
335,12043,0.125
336,12045,0.113
337,12047,0.14
338,12049,0.132
339,12051,0.114
340,12053,0.12
341,12055,0.137
342,12057,0.105
343,12059,0.153
344,12061,0.117
345,12063,0.127
346,12065,0.134
347,12067,0.11
348,12069,0.12
349,12071,0.105
350,12073,0.089
351,12075,0.13
352,12077,0.119
353,12079,0.144
354,12081,0.112
355,12083,0.124
356,12085,0.087
357,12086,0.088
358,12087,0.072
359,12089,0.102
360,12091,0.096
361,12093,0.103
362,12095,0.09
363,12097,0.095
364,12099,0.095
365,12101,0.112
366,12103,0.11
367,12105,0.122
368,12107,0.147
369,12109,0.082
370,12111,0.131
371,12113,0.104
372,12115,0.102
373,12117,0.107
374,12119,0.138
375,12121,0.124
376,12123,0.13
377,12125,0.138
378,12127,0.119
379,12129,0.107
380,12131,0.106
381,12133,0.134
382,13001,0.14
383,13003,0.11
384,13005,0.111
385,13007,0.144
386,13009,0.113
387,13011,0.108
388,13013,0.116
389,13015,0.114
390,13017,0.143
391,13019,0.118
392,13021,0.121
393,13023,0.123
394,13025,0.109
395,13027,0.148
396,13029,0.103
397,13031,0.108
398,13033,0.126
399,13035,0.129
400,13037,0.131
401,13039,0.116
402,13043,0.115
403,13045,0.129
404,13047,0.124
405,13049,0.115
406,13051,0.104
407,13053,0.073
408,13055,0.121
409,13057,0.087
410,13059,0.09
411,13061,0.175
412,13063,0.113
413,13065,0.129
414,13067,0.088
415,13069,0.117
416,13071,0.128
417,13073,0.098
418,13075,0.136
419,13077,0.11
420,13079,0.125
421,13081,0.142
422,13083,0.115
423,13085,0.108
424,13087,0.129
425,13089,0.09
426,13091,0.153
427,13093,0.131
428,13095,0.125
429,13097,0.116
430,13099,0.134
431,13101,0.101
432,13103,0.096
433,13105,0.142
434,13107,0.113
435,13109,0.141
436,13111,0.132
437,13113,0.106
438,13115,0.105
439,13117,0.097
440,13119,0.115
441,13121,0.079
442,13123,0.116
443,19023,0.082
444,19025,0.108
445,19027,0.081
446,19029,0.086
447,19031,0.102
448,19033,0.101
449,19035,0.092
450,19037,0.088
451,19039,0.083
452,19041,0.086
453,19043,0.083
454,19045,0.091
455,19047,0.08
456,19049,0.074
457,19051,0.102
458,19053,0.085
459,19055,0.084
460,19057,0.118
461,19059,0.088
462,19061,0.09
463,19063,0.093
464,19065,0.091
465,19067,0.106
466,19069,0.093
467,19071,0.099
468,19073,0.09
469,19075,0.099
470,19077,0.09
471,19079,0.095
472,19081,0.09
473,19083,0.085
474,19085,0.091
475,19087,0.092
476,19089,0.089
477,19091,0.105
478,19093,0.094
479,19095,0.088
480,19097,0.094
481,19099,0.102
482,19101,0.095
483,19103,0.054
484,19105,0.088
485,19107,0.084
486,19109,0.104
487,19111,0.096
488,19113,0.087
489,19115,0.089
490,19117,0.092
491,19119,0.086
492,19121,0.101
493,19123,0.091
494,21121,0.142
495,21123,0.131
496,21125,0.117
497,21127,0.145
498,21129,0.122
499,21131,0.148
500,21133,0.172
501,21135,0.139
502,21137,0.124
503,21139,0.139
504,21141,0.113
505,21143,0.129
506,21145,0.104
507,21147,0.131
508,21149,0.126
509,21151,0.106
510,21153,0.126
511,21155,0.111
512,21157,0.104
513,21159,0.123
514,21161,0.141
515,21163,0.108
516,21165,0.149
517,21167,0.116
518,21169,0.131
519,21171,0.125
520,21173,0.108
521,21175,0.138
522,21177,0.121
523,21179,0.098
524,21181,0.135
525,21183,0.138
526,21185,0.106
527,21187,0.127
528,21189,0.137
529,21191,0.107
530,21193,0.158
531,21195,0.148
532,21197,0.134
533,21199,0.124
534,21201,0.142
535,21203,0.127
536,21205,0.107
537,21207,0.13
538,21209,0.102
539,21211,0.114
540,21213,0.132
541,21215,0.109
542,21217,0.132
543,21219,0.115
544,21221,0.117
545,28095,0.139
546,28097,0.17
547,28099,0.156
548,28101,0.137
549,28103,0.168
550,28105,0.098
551,28107,0.14
552,28109,0.14
553,28111,0.153
554,28113,0.159
555,28115,0.128
556,28117,0.126
557,28119,0.183
558,28121,0.119
559,28123,0.138
560,28125,0.162
561,28127,0.137
562,28129,0.128
563,28131,0.118
564,28133,0.138
565,28135,0.13
566,28137,0.148
567,28139,0.121
568,28141,0.121
569,28143,0.15
570,28145,0.122
571,28147,0.153
572,28149,0.12
573,28151,0.139
574,28153,0.129
575,28155,0.134
576,28157,0.172
577,28159,0.168
578,28161,0.163
579,28163,0.132
580,29001,0.092
581,29003,0.097
582,29005,0.108
583,29007,0.108
584,29009,0.101
585,29011,0.116
586,29013,0.113
587,29015,0.143
588,29017,0.118
589,29019,0.068
590,29021,0.121
591,29023,0.107
592,29025,0.112
593,29027,0.103
594,29029,0.105
595,47141,0.105
596,47143,0.122
597,47145,0.129
598,47147,0.107
599,47149,0.098
600,47151,0.115
601,47153,0.117
602,47155,0.121
603,47157,0.118
604,47159,0.111
605,47161,0.132
606,47163,0.146
607,47165,0.1
608,47167,0.116
609,47169,0.117
610,47171,0.121
611,47173,0.118
612,47175,0.122
613,47177,0.112
614,47179,0.114
615,47181,0.111
616,47183,0.109
617,47185,0.119
618,47187,0.092
619,47189,0.115
620,48001,0.115
621,48003,0.099
622,48005,0.11
623,48007,0.121
624,48009,0.125
625,48011,0.113
626,48013,0.102
627,48015,0.103
628,48017,0.097
629,48019,0.13
630,48021,0.103
631,48023,0.117
632,48025,0.095
633,48027,0.096
634,48029,0.093
635,48031,0.112
636,48033,0.114
637,48035,0.107
638,48037,0.11
639,48039,0.094
640,48041,0.071
641,48043,0.09
642,48045,0.116
643,48047,0.106
644,48049,0.105
645,13125,0.115
646,13127,0.099
647,13129,0.103
648,13131,0.124
649,13133,0.147
650,13135,0.074
651,13137,0.107
652,13139,0.122
653,13141,0.163
654,13143,0.118
655,13145,0.127
656,13147,0.117
657,13149,0.117
658,13151,0.096
659,13153,0.097
660,13155,0.123
661,13157,0.093
662,13159,0.118
663,13161,0.117
664,13163,0.141
665,13165,0.135
666,13167,0.134
667,13169,0.13
668,13171,0.118
669,13173,0.112
670,13175,0.118
671,13177,0.111
672,13179,0.102
673,13181,0.137
674,13183,0.101
675,13185,0.111
676,13187,0.091
677,13189,0.147
678,13191,0.135
679,13193,0.143
680,13195,0.118
681,13197,0.141
682,13199,0.132
683,13201,0.144
